UF;Sexo;Idade;Cor;Anos de Estudo;Renda;Altura
Rondônia;Homem;35;Parda;5;1500;1.679200749
Rondônia;Homem;71;Branca;6;1100;1.739955274
Rondônia;Homem;31;Preta;1;1000;1.758267501
Rondônia;Mulher;43;Parda;12;1100;1.717289179
Rondônia;Homem;51;Parda;9;1200;1.660772859
Rondônia;Homem;37;Parda;9;2580;1.649140632
Rondônia;Homem;38;Parda;17;1900;1.707080223
Rondônia;Mulher;35;Parda;16;2150;1.679997644
Rondônia;Homem;26;Branca;12;1800;1.73665454
Rondônia;Mulher;50;Parda;6;300;1.681007713
Rondônia;Homem;59;Parda;5;1300;1.691254559
Rondônia;Homem;25;Parda;12;788;1.714962843
Rondônia;Mulher;42;Branca;16;2800;1.72502471
Rondônia;Homem;41;Parda;5;1440;1.660942452
Rondônia;Homem;38;Parda;5;850;1.711345558
Rondônia;Mulher;36;Branca;16;9000;1.724220376
Rondônia;Homem;32;Parda;15;7800;1.729626334
Rondônia;Homem;45;Parda;5;1200;1.614643223
Rondônia;Mulher;26;Branca;11;1500;1.656445512
Rondônia;Mulher;28;Branca;12;3000;1.668200817
Rondônia;Homem;29;Parda;6;400;1.648669596
Rondônia;Mulher;30;Parda;7;550;1.837242863
Rondônia;Mulher;36;Parda;12;1200;1.741514536
Rondônia;Homem;25;Parda;12;1500;1.735279131
Rondônia;Homem;26;Parda;6;1100;1.758025719
Rondônia;Mulher;44;Parda;6;900;1.61644168
Rondônia;Mulher;19;Branca;12;2300;1.804838993
Rondônia;Homem;34;Amarela;16;8000;1.649053073
Rondônia;Homem;36;Parda;13;1400;1.807143241
Rondônia;Mulher;36;Parda;16;5000;1.654739706
Rondônia;Homem;39;Branca;3;2500;1.65973197
Rondônia;Homem;32;Parda;12;1490;1.833820401
Rondônia;Homem;57;Parda;3;2300;1.752300365
Rondônia;Mulher;28;Branca;5;430;1.739136095
Rondônia;Homem;28;Branca;9;400;1.636523743
Rondônia;Mulher;36;Parda;12;300;1.749389281
Rondônia;Homem;46;Parda;10;160;1.700809575
Rondônia;Homem;49;Branca;16;900;1.594849162
Rondônia;Homem;39;Parda;4;688;1.844883796
Rondônia;Homem;49;Branca;9;400;1.654019078
Rondônia;Homem;55;Branca;3;1000;1.816873908
Rondônia;Homem;60;Parda;9;0;1.715936556
Rondônia;Homem;55;Parda;9;8000;1.837528846
Rondônia;Mulher;22;Branca;16;805;1.815143228
Rondônia;Homem;42;Parda;12;6000;1.740019168
Rondônia;Homem;35;Branca;16;2000;1.610327007
Rondônia;Homem;38;Parda;12;850;1.776701002
Rondônia;Homem;29;Branca;16;5200;1.605596826
Rondônia;Homem;66;Preta;2;789;1.710531655
Rondônia;Homem;48;Branca;1;2000;1.60734188
Rondônia;Homem;34;Parda;16;5000;1.671755171
Rondônia;Mulher;49;Parda;12;400;1.606770127
Rondônia;Homem;49;Branca;9;1800;1.564118322
Rondônia;Homem;62;Branca;12;4000;1.712222929
Rondônia;Homem;28;Preta;12;1000;1.745179769
Rondônia;Mulher;32;Parda;6;200;1.612323235
Rondônia;Homem;41;Branca;1;250;1.811847854
Rondônia;Homem;52;Parda;3;800;1.727525317
Rondônia;Homem;43;Parda;12;1600;1.759334993
Rondônia;Homem;39;Branca;8;800;1.679203572
Rondônia;Homem;37;Parda;6;1600;1.728953956
Rondônia;Homem;67;Parda;1;1000;1.643999861
Rondônia;Homem;54;Branca;5;2500;1.735019871
Rondônia;Homem;77;Parda;1;250;1.791420938
Rondônia;Homem;64;Parda;4;1000;1.715299407
Rondônia;Homem;58;Branca;1;10000;1.722839364
Rondônia;Homem;57;Parda;3;1200;1.804646938
Rondônia;Homem;43;Parda;13;1200;1.778950307
Rondônia;Homem;64;Parda;5;3000;1.705584335
Rondônia;Homem;52;Branca;7;1200;1.733608819
Rondônia;Homem;52;Parda;1;2500;1.753327657
Rondônia;Mulher;26;Parda;15;1000;1.817722725
Rondônia;Homem;41;Branca;12;2700;1.706976565
Rondônia;Homem;24;Parda;16;1300;1.772257117
Rondônia;Mulher;31;Parda;6;500;1.76083604
Rondônia;Mulher;29;Branca;14;1000;1.711327999
Rondônia;Homem;41;Parda;5;1500;1.76445333
Rondônia;Homem;44;Parda;6;1900;1.634594403
Rondônia;Mulher;38;Branca;7;1300;1.721233932
Rondônia;Mulher;62;Parda;10;300;1.62495925
Rondônia;Homem;59;Branca;1;788;1.784691602
Rondônia;Mulher;60;Branca;3;788;1.709539664
Rondônia;Homem;48;Branca;5;2500;1.740528997
Rondônia;Homem;56;Branca;2;788;1.721948047
Rondônia;Mulher;32;Branca;9;1020;1.624170747
Rondônia;Mulher;43;Parda;1;600;1.610421713
Rondônia;Mulher;26;Parda;12;1920;1.715418767
Rondônia;Homem;57;Preta;5;1500;1.730241951
Rondônia;Homem;39;Parda;1;788;1.587156567
Rondônia;Homem;45;Branca;12;1000;1.794884073
Rondônia;Homem;51;Parda;2;2500;1.715059812
Rondônia;Homem;34;Branca;12;789;1.838923596
Rondônia;Mulher;40;Preta;7;830;1.631127346
Rondônia;Mulher;36;Branca;12;1000;1.530269667
Rondônia;Homem;55;Parda;7;1800;1.755595003
Rondônia;Homem;49;Branca;8;2300;1.835355316
Rondônia;Homem;39;Parda;12;800;1.672349006
Rondônia;Mulher;39;Parda;6;788;1.641681806
Rondônia;Mulher;38;Preta;16;1200;1.700708687
Rondônia;Mulher;17;Branca;11;230;1.840929648
Rondônia;Homem;51;Branca;16;2364;1.617595593
Rondônia;Mulher;56;Branca;7;500;1.609445009
Rondônia;Mulher;45;Parda;1;1800;1.709539346
Rondônia;Homem;57;Branca;3;3650;1.638209027
Rondônia;Homem;69;Branca;1;850;1.699977664
Rondônia;Mulher;38;Parda;5;0;1.726380083
Rondônia;Homem;31;Branca;9;2000;1.533781023
Rondônia;Homem;54;Parda;1;1500;1.793828782
Rondônia;Homem;41;Branca;5;700;1.785477747
Rondônia;Homem;43;Branca;4;750;1.608269896
Rondônia;Homem;40;Branca;5;800;1.698189024
Rondônia;Homem;39;Parda;1;1200;1.664920063
Rondônia;Homem;42;Branca;4;1400;1.729185303
Rondônia;Homem;58;Parda;1;750;1.654449975
Rondônia;Mulher;23;Parda;9;300;1.822339604
Rondônia;Mulher;43;Parda;10;788;1.530682737
Rondônia;Homem;38;Parda;6;400;1.840644739
Rondônia;Homem;38;Branca;16;400;1.754663691
Rondônia;Mulher;38;Preta;6;788;1.698167372
Rondônia;Homem;37;Parda;1;788;1.594890204
Rondônia;Mulher;59;Parda;4;1500;1.534158814
Rondônia;Homem;50;Parda;7;1500;1.680383502
Rondônia;Homem;31;Branca;16;3000;1.7207937
Rondônia;Homem;44;Parda;12;1400;1.781007987
Rondônia;Homem;27;Parda;12;1000;1.634692307
Rondônia;Mulher;36;Parda;12;800;1.879012232
Rondônia;Homem;37;Parda;7;800;1.730865592
Rondônia;Homem;49;Parda;12;700;1.858994735
Rondônia;Homem;55;Parda;8;900;1.731334193
Rondônia;Homem;37;Preta;9;788;1.81014312
Rondônia;Mulher;52;Parda;12;788;1.553276832
Rondônia;Mulher;38;Parda;1;400;1.77528698
Rondônia;Mulher;66;Parda;16;2000;1.729180189
Rondônia;Homem;63;Branca;12;3000;1.849865103
Rondônia;Mulher;31;Parda;15;300;1.770795407
Rondônia;Mulher;49;Parda;12;1300;1.79307671
Rondônia;Homem;46;Branca;6;1200;1.720288563
Rondônia;Homem;45;Parda;8;1500;1.776154971
Rondônia;Mulher;33;Preta;10;200;1.72527463
Rondônia;Homem;58;Preta;8;1600;1.672713166
Rondônia;Homem;54;Parda;3;1200;1.553054861
Rondônia;Homem;72;Parda;1;1500;1.734895336
Rondônia;Homem;70;Parda;1;400;1.604257134
Rondônia;Homem;50;Parda;6;350;1.739618858
Rondônia;Homem;64;Branca;5;2400;1.745479841
Rondônia;Homem;61;Parda;5;0;1.598207291
Rondônia;Homem;53;Parda;1;788;1.837902771
Rondônia;Homem;38;Parda;6;800;1.651160293
Rondônia;Homem;72;Parda;1;0;1.657999179
Rondônia;Homem;22;Branca;8;1100;1.779518039
Rondônia;Homem;50;Branca;13;2500;1.92579977
Rondônia;Homem;49;Parda;2;0;1.798253592
Rondônia;Homem;41;Branca;16;2000;1.676554676
Rondônia;Homem;31;Branca;14;3000;1.728661239
Rondônia;Homem;44;Branca;16;5000;1.749771342
Rondônia;Homem;41;Branca;16;3500;1.576958875
Rondônia;Homem;42;Parda;9;3500;1.556648626
Rondônia;Homem;18;Parda;10;800;1.69346055
Rondônia;Homem;41;Preta;5;800;1.720577135
Rondônia;Mulher;23;Parda;14;850;1.793628846
Rondônia;Homem;37;Parda;9;850;1.685051771
Rondônia;Mulher;47;Branca;17;788;1.813393331
Rondônia;Homem;19;Parda;9;1500;1.651605414
Rondônia;Homem;35;Parda;9;1000;1.581273642
Rondônia;Homem;33;Parda;12;1200;1.735513155
Rondônia;Mulher;34;Parda;10;800;1.618622823
Rondônia;Homem;36;Parda;6;2000;1.619677459
Rondônia;Mulher;38;Branca;8;1000;1.693734834
Rondônia;Mulher;33;Parda;16;2000;1.610727425
Rondônia;Homem;58;Parda;1;800;1.600100393
Rondônia;Mulher;46;Parda;9;788;1.800521066
Rondônia;Homem;56;Parda;4;1300;1.619059013
Rondônia;Homem;34;Parda;12;2500;1.673185626
Rondônia;Homem;28;Parda;6;1000;1.799869738
Rondônia;Homem;27;Parda;12;3500;1.680026871
Rondônia;Homem;28;Parda;4;800;1.672872093
Rondônia;Homem;22;Branca;9;788;1.747933413
Rondônia;Homem;44;Preta;9;1500;1.717878112
Rondônia;Homem;32;Parda;9;1600;1.72177337
Rondônia;Homem;36;Parda;8;1700;1.845530572
Rondônia;Homem;39;Parda;7;2000;1.73888129
Rondônia;Homem;45;Parda;16;1000;1.836743013
Rondônia;Mulher;39;Preta;9;100;1.726598949
Rondônia;Mulher;21;Branca;9;788;1.735220523
Rondônia;Homem;26;Parda;12;1400;1.638165938
Rondônia;Homem;44;Parda;16;1200;1.717992835
Rondônia;Homem;40;Parda;5;1500;1.49861126
Rondônia;Homem;57;Branca;5;1300;1.680255885
Rondônia;Homem;40;Preta;8;600;1.651368209
Rondônia;Homem;41;Parda;6;900;1.727758113
Rondônia;Homem;44;Branca;4;1200;1.655147987
Rondônia;Homem;40;Parda;5;2000;1.75275962
Rondônia;Homem;44;Parda;12;900;1.789949139
Rondônia;Homem;51;Parda;1;2000;1.752622471
Rondônia;Homem;35;Parda;4;900;1.673762837
Rondônia;Homem;22;Parda;1;788;1.654788996
Rondônia;Homem;44;Parda;4;900;1.607891899
Rondônia;Homem;31;Parda;9;1500;1.686726382
Rondônia;Homem;22;Parda;12;788;1.567346954
Rondônia;Homem;61;Branca;16;10000;1.618431434
Rondônia;Mulher;26;Parda;10;788;1.779590173
Rondônia;Homem;56;Parda;12;2800;1.856666759
Rondônia;Homem;53;Parda;9;788;1.643559757
